Project Name (Eng),Project Name (Chi),Project Address,District,Project Type,Owner / Developer Name,BEAM Pro,Tool,Current Status,Year,Validity,Green Build Cert Label No,Online exhibition,Outstanding Performance in ES Cat
K11 ATELIER King's Road,,"728 King’s Road, Quarry Bay, HK",HK - Eastern,Commercial,New World Development Company Limited,Gladys SO,EB V2.0 Sel. MAN,Registered,2020,Valid,,,
K11 ATELIER Victoria Dockside,K11 辦公大樓,"K11 Atelier, Victoria Dockside, 18 Salisbury Road, Tsim Sha Tsui, Kowloon, Hong Kong",KLN - Yau Tsim Mong,Commercial,New World Development Company Limited,Gladys SO,EB V2.0 Sel. MAN,Registered,2020,Valid,,,
K11 King’s Road ATELIER,,"728 King’s Road, North Point, Hong Kong",HK - Eastern,Commercial,Full Asset Enterprises Limited,JIANG Wei,NB V1.2,Final Platinum,2021,Valid,,,
K11 MUSEA,K11 人文購物藝術館,"K11 MUSEA, Victoria Dockside, 18 Salisbury Road, Tsim Sha Tsui, Kowloon, Hong Kong",KLN - Yau Tsim Mong,Commercial,New World Development Company Limited,Gladys SO,EB V2.0 Sel. MAN,Registered,2020,Valid,,,
K11 MUSEA,維港文化滙 K11人文購物藝術館 及 K11 ARTUS - 九龍地段 9844,"18 Salisbury Road, Kowloon, Hong Kong",KLN - Yau Tsim Mong,Commercial,Hong Kong Island Development Limited c/o NW Project Management Limited,Sze-To Hiu Yue,NB V1.1,Final Gold,2022,Valid,,https://greenbuilding.hkgbc.org.hk/projects/view/1265,
K11 MUSEA- Donut Playhouse and Salisbury Garden,,"12 Salisbury Road, Tsim Sha Tsui, Hong Kong",KLN - Yau Tsim Mong,Commercial,New World Development Company Limited,Sze-To Hiu Yue,NB V1.2,Final Platinum,2022,Valid,,https://greenbuilding.hkgbc.org.hk/projects/view/251,
K18 Proposed Commercial Redevelopment,,"18 Kimberley Street, Tsim Sha Tsui, Kowloon",KLN - Yau Tsim Mong,Commercial,K18 Property Limited,Lau Chun Kit,NB V2.0,Registered,2020,Valid,,,
Kadoorie Centre FOOD HUB,,"HKU Kadoorie Centre, Lam Kam Road, Shek Kong, N.T., Hong Kong",NT - Tai Po,Food Space,Kadoorie Farm and Botanic Garden Corporation,Mr. Henry K.C. Mak,BI V2.0,Platinum,2025,Valid,,,
"KAI BO 22, 22 Wing Kin Road, Kwai Chung, New Territories",佳宝22,"22 Wing Kin Road, Kwai Chung, New Territories, Hong Kong",NT - Kwai Tsing,Industrial,Keen Realty Development Ltd.,Ms Sze Wing Choi,NB V1.2,Final Unclassified,2020,Valid,,,
Kai Centre,百利佳中心,"Kai Centre, 36 Hung To Road, Kwun Tong, Kowloon",KLN - Kwun Tong,Commercial,Kai Success Company Limited,"AU Tat Kay, Walter",EB V2.0 Comp. A,Final Pre-requisites Achieved,2019,Expired,,,
Kai Cheung Court,啟翔苑,"237 Choi Hung Road, Wong Tai Sin, Kowloon, Hong Kong",KLN - Wong Tai Sin,Residential,Hong Kong Housing Authority,Sze-To Hiu Yue,NB V1.2,Final Gold,2024,Valid,REG0004/21; PAG0158/23,,
Kai Chuen Court,啟鑽苑,235 Choi Hung Road,KLN - Wong Tai Sin,Residential,Hong Kong Housing Authority,Sze-To Hiu Yue,NB V1.2,Provisional Gold,2018,Expired,PAG0091/21,,
Kai Long Court,啟朗苑,18 Muk On Street,KLN - Kowloon City,Residential,Hong Kong Housing Authority,"CHEUNG Wai Hin, Andy",NB V1.2,Final Gold,2020,Valid,PAG0044/18,https://greenbuilding.hkgbc.org.hk/projects/view/224,
Kai Nang Integrated Rehabilitation Services Complex,啟能綜合康復服務大樓,"4 Fuk Tong Road, Kwun Tong, Kowloon",KLN - Kwun Tong,Government Institutional and Community,Hong Kong SAR Government,CHOI Sze Wing,NB V1.2,Final Gold,2022,Valid,,,
Kai Shing Management Services Limited - Landmark North,啟勝管理服務有限公司 - 上水廣場,"39 Lung Sum Avenue, Sheung Shui, New Territories, Hong Kong",NT - North,Commercial,Sun Hung Kai Properties Limited,SZETO Chun Tak,EB V2.0 Sel. MAN,Excellent,2021,Valid,,,
Kai Shing Management Services Limited – Metropolis Plaza,啟勝管理服務有限公司 -新都廣場,"8 Lung Wan Street, Sheung Shui, New Territories, Hong Kong",NT - North,Mixed Use,Sun Hung Kai Properties Limited,SZETO Chun Tak,EB V2.0 Sel. MAN,Excellent,2021,Valid,,,
Kai Tak Cruise Terminal Building,啟德郵輪碼頭大樓,"No. 33 Shing Fung Road, Kowloon",KLN - Kowloon City,Government Institutional and Community,"Tourism Commission, Commerce and Economic Development Bureau, HKSAR Government","LAM Siu Kei, Kenneth",NB V1.1,Final Platinum,2017,Expired,,https://greenbuilding.hkgbc.org.hk/projects/view/16,
Kai Tak Development - Reconstruction and Upgrading of Kai Tak Nullah (Desilting Compound No. 1),啟德發展計劃－啟德明渠重建及改善工程 (一號淤泥清理站 ),"Desilting Compounds No. 1, Shing Kai Road, Kai Tak Development, Kowloon",KLN - Kowloon City,Government Institutional and Community,"Civil Engineering and Development Department, HKSAR Government",MA Yee Ling / Camille Kwong,NB V1.2,Final Platinum,2020,Valid,,https://greenbuilding.hkgbc.org.hk/projects/view/20,
Kai Tak Development - Reconstruction and Upgrading of Kai Tak Nullah (Desilting Compound No. 2),啟德發展計劃－啟德明渠重建及改善工程 (二號淤泥清理站),"Desilting Compound No. 2, Road D1, Kai Tak Development, Kowloon",KLN - Kowloon City,Government Institutional and Community,"Civil Engineering and Development Department, HKSAR Government","Ma Yee Ling, Elaine",NB V1.2,Final Platinum,2020,Valid,,https://greenbuilding.hkgbc.org.hk/projects/view/20,
Kai Tak Fire Station,啟德消防局,"No.5 Cheung Yip Street, Kowloon Bay, Hong Kong",KLN - Kowloon City,Government Institutional and Community,"Fire Station Department, HKSAR Government","Kong LI, CHEN Yifang",NB V1.1,Final Platinum,2017,Expired,,https://greenbuilding.hkgbc.org.hk/projects/view/11,
Kai Tak Sports Park,啟德體育園,"38 and 39 Shing Kai Road, Kai Tak, Kowloon, Hong Kong",KLN - Kowloon City,Government Institutional and Community,"Home Affairs Bureau, HKSAR Government","LAM Ngan Tung, Tony",ND V1.0,Platinum,2020,Valid,,https://greenbuilding.hkgbc.org.hk/projects/view/208,
Kai Tak Sports Park Indoor Sports Centre,啟德體育園室內體育館,"38 Shing Kai Road, Kai Tak, Kowloon, Hong Kong",KLN - Kowloon City,Government Institutional and Community,"Home Affairs Bureau, HKSAR Government",Tang Jiong,NB V1.2,Provisional Platinum,2021,Valid,,,
Kai Tak Sports Park Main Stadium,啟德體育園主場館,"39 Shing Kai Road, Kai Tak, Kowloon, Hong Kong",KLN - Kowloon City,Government Institutional and Community,"Home Affairs Bureau, HKSAR Government","DU LIPING, Viki",NB V1.2,Provisional Platinum,2021,Valid,,https://greenbuilding.hkgbc.org.hk/projects/view/349,
Kai Tak Sports Park Public Sports Ground,啟德體育園公眾運動場,"38 Shing Kai Road, Kai Tak, Kowloon, Hong Kong",KLN - Kowloon City,Government Institutional and Community,"Culture, Sports and Tourism Bureau, HKSAR Government",Wong Siu Cho,NB V1.2,Provisional Platinum,2021,Valid,,,
Kai Tin Shopping Centre,啟田商場,"50 Kai Tin Road, Lam Tin, Kowloon",KLN - Kwun Tong,Commercial,Link Asset Management Limited,N/A,EB V2.0 Sel. EU,Good,2022,Valid,,https://greenbuilding.hkgbc.org.hk/projects/view/1309,
Kai Tin Shopping Centre,啟田商場,"50 Kai Tin Road, Lam Tin, Kowloon",KLN - Kwun Tong,Commercial,LINK REIT,,EB V2.0 Sel. MAN,Good,2020,Valid,,https://greenbuilding.hkgbc.org.hk/projects/view/273,
Kai Yan Court,啟欣苑,"Kai Tak Site 2B2, Hong Kong",KLN - Kowloon City,Mixed Use,Hong Kong Housing Authority,Wei Jiang,NB V1.2,Provisional Gold,2021,Valid,PAG0120/22,,
Kai Ying Court,啟盈苑,"Kai Tak Site 2B5, Hong Kong",KLN - Kowloon City,Mixed Use,Hong Kong Housing Authority,Wei Jiang,NB V1.2,Provisional Gold,2022,Valid,PAG:0169/24,,
Kai Yip Shopping Centre,啟業商場,"No. 18 Kai Yip Road, Kowloon Bay, Kowloon",KLN - Kwun Tong,Commercial,Gaw Capital Asset Management (HK) Limited,Lee Man Kwong,EB V2.0 Sel. MAN,Excellent,2023,Valid,,https://greenbuilding.hkgbc.org.hk/projects/view/1420,
Kai Yuet Court,啟悅苑,"Kai Tak Site 2B6, Hong Kong",KLN - Kowloon City,Mixed Use,Hong Kong Housing Authority,Wei Jiang,NB V1.2,Provisional Gold,2022,Valid,PAG0149/23,,
Kam Chun Court,錦駿苑,150 Ma On Shan Road,NT - Sha Tin,Mixed Use,Hong Kong Housing Authority,Lai Shing Leong,NB V1.2,Final Gold,2024,Valid,PAG0090/21,,
Kam Fai Court,錦暉苑,"8 Hang Kin Street, Ma On Shan, New Territories, Hong Kong",NT - Tai Po,Residential,Hong Kong Housing Authority,Fredrick Leong,NB V1.2,Final Gold,2021,Valid,PAG0061/19,,
Kam Pak Court,錦柏苑,"2 Hang Tai Road, Ma On Shan",NT - Sha Tin,Residential,Hong Kong Housing Authority,Fredrick Leong,NB V1.2,Provisional Gold,2022,Valid,,,
Kam Tai Shopping Centre,錦泰商場,"No. 31 Ning Tai Road, Ma On Shan, New Territories",NT - Sha Tin,Commercial,Gaw Capital Asset Management (HK) Limited,Lee Man Kwong,EB V2.0 Sel. MAN,Excellent,2023,Valid,,https://greenbuilding.hkgbc.org.hk/projects/view/1404,
Kau To Highland,九肚山峰,"39, 41, 43, 45, 47, 49, 51, 53, 55, 57, 59, 61, 63, 65, 67, 69, 71, 73, 75, 77 Lai Ping Road, Hong Kong",NT - Sha Tin,Residential,Apex Harvest Limited,CHAN Chun Kwok,NB V1.1,Final Unclassified,2017,Expired,FAU0002/18; PAU0003/14,,
Kei Wah Court,驥華苑,"Java Road, North Point, Hong Kong",HK - Eastern,Residential,Hong Kong Housing Authority,"MAK Kei Choi, Henry",NB V1.2,Provisional Gold,2021,Valid,PAG0105/22,,
KENNEDY 38,Nil,"38 Belcher's Street, Hong Kong",HK - Central & Western,Residential,Harvest Treasure Limited,Fredrick Leong,NB V1.2,Final Silver,2024,Valid,PAS0036/21; FAS0028/24,,
Kenning Industrial Building,健力工業大廈,"19 Wang Hoi Road, Kowloon Bay",KLN - Kwun Tong,Industrial,,Mr Au Tat Kay,EB V2.0 Sel. MAN,Good,2020,Valid,,,
Kensington Hill,,98 High Street,HK - Central & Western,Residential,Wheelock Properties (Hong Kong) Limited,"KWOK May Han, Grace",NB V1.1,Final Bronze,2020,Valid,,https://greenbuilding.hkgbc.org.hk/projects/view/232,
KePLACE,,"2 Lee On Lane, Kwun Tong, Kowloon",KLN - Kwun Tong,Government Institutional and Community,United Christian College (Kowloon East),Tam Yuen Kwong,NB V2.0,Final Platinum,2024,Valid,,,
Kerry Hotel,香港嘉里酒店,"38 Hung Luen Road, Hung Hom, Kowloon, Hong Kong",KLN - Kowloon City,Hotel,Shangri-La Hotel (Kowloon) Limited,Wong Man Sze,NB V1.1,Final Bronze,2018,Expired,,,
KIMBERLAND CENTER,金百盛中心,"55-57 Wing Hong Street, Cheung Sha Wan, Kowloon, Hong Kong",KLN - Sham Shui Po,Industrial,Smart Wealth Asia Pacific Limited,"Ling Ho Yin, Michael",NB V1.2,Final Unclassified,2020,Valid,,,
Kindergarten Education Centre (Siu Sai Wan),幼稚園教育中心 (小西灣),"Fu Yee Road, Siu Sai Wan, Hong Kong",HK - Eastern,Government Institutional and Community,Education Bureau,Mr. Henry K.C. Mak,NB V2.0,Provisional Gold,2023,Valid,,,
King Lam Shopping Centre,景林商場,"No. 38 Po Lam Road North, Tseung Kwan O, New Territories",NT - Sai Kung,Commercial,Gaw Capital Asset Management (HK) Limited,Lee Man Kwong,EB V2.0 Sel. MAN,Excellent,2023,Valid,,https://greenbuilding.hkgbc.org.hk/projects/view/1412,
King Tai Court,景泰苑,"118 King Fuk Street, San Po Kong",KLN - Wong Tai Sin,Residential,Hong Kong Housing Authority,HUNG Chung Yin,NB V1.2,Final Gold,2021,Valid,,https://greenbuilding.hkgbc.org.hk/projects/view/29,
King's Hill,明德山,"38 Western Street, Hong Kong",HK - Central & Western,Residential,Fame Amuse Limited,POON Kim Wan,NB V1.1,Final Bronze,2018,Expired,,,
King's Hill,眀徳山,"38 Western Street, Sai Ying Pun, Sai Wan",HK - Central & Western,Residential,,Mr Au Tat Kay,EB V2.0 Sel. MAN,Good,2020,Valid,,,
Kings Wing Plaza 1,京瑞廣埸一期,"3 On Kwan Street, Shek Mun, New Territories",NT - Sha Tin,Commercial,Speedy Tact Development Limited,Cherry MAK,NB V1.1,Final Unclassified,2016,Expired,,,
Kings Wing Plaza 2,京瑞廣場2期,"1 On Kwan Street, Shek Mun, ShaTin, New Territories, Sha Tin Town Lot No. 463",NT - Sha Tin,Commercial,Fancy Luck Development Limited,"YEUNG Pak Hin, Albert",NB V1.1,Final Unclassified,2017,Expired,,,
Kingston International Centre,金利豐國際中心,"19 Wang Chiu Road, Kowloon Bay, Kowloon",KLN - Kwun Tong,Commercial,Star Wing International Limited,"CHAN Chi Keung, Peter",NB V1.2,Final Platinum,2019,Expired,,https://greenbuilding.hkgbc.org.hk/projects/view/162,
Kingston International Centre,金利豐國際中心,"19 Wang Chiu Road, Kowloon Bay, Kowloon",KLN - Kwun Tong,Commercial,Star Wing International Ltd.,Lee Man Kwong,EB V2.0 Comp. A,Final Platinum,2024,Valid,,,
"KINGVIEW PLAZA at The Remaining Portion of Lot No. 308 in DD No. 355, 39 Sha Tsui Road, Tsuen Wan, Hong Kong",京匯廣場,"No.39 Sha Tsui Road, Tsuen Wan, New Territories, Hong Kong",NT - Tsuen Wan,Commercial,PIONEERING REALTY DEVELOPMENT LIMITED,Mr. Henry K.C. Mak,NB V1.2,Final Unclassified,2025,Valid,,,
Ko Wang Court,高宏苑,"Yan Wing Street, Lei Yue Mun",KLN - Kwun Tong,Residential,Hong Kong Housing Authority,"CHAN Chi Keung, Peter",NB V1.2,Registered,2019,Valid,REG0013/23,,
KOHO,,"73-75 Hung To Road, Kwun Tong, Kolwoon, H.K.",KLN - Kwun Tong,Commercial,New World Development Company Limited,Gladys SO,EB V2.0 Sel. MAN,Registered,2020,Valid,,,
"Koko Hills, Koko Reserve, KOKO ROSSO, KOKO MARE",,"New Kowloon Inland Lot No. 6584, Off Sin Fat Road, Kwun Tong, Kowloon",KLN - Kwun Tong,Residential,Golden Centurion Limited,"CHIU Ka Fai, Calvin",NB V1.2,Provisional Gold,2019,Expired,PAG0070/19,,
Konnect@Central,中環匯,"58 Wing Lok Street, Sheung Wan, Hong Kong",HK - Central & Western,Commercial,Fat Investment Hong Kong Limited,Mr Ho Yin LING,NB V1.2,Final Unclassified,2022,Valid,,,
Kowloon City No. 1 and No. 2 Sewage Pumping Station,九龍城一號及二號污水泵房,"Prince Edward Road East (SPS No. 1) & Olympic Avenue (SPS No. 2), Kowloon City, Kowloon, Hong Kong",KLN - Kowloon City,Government Institutional and Community,"Drainage Services Department, HKSAR Government","CHAN Chi Keung, Peter",EB V1.2,Final Platinum,2021,Valid,,https://greenbuilding.hkgbc.org.hk/projects/view/2,
Kowloon City No. 1 and No. 2 Sewage Pumping Station,九龍城一號及二號污水泵房,"Prince Edward Road East (SPS No. 1) & Olympic Avenue (SPS No. 2), Kowloon City, Kowloon, Hong Kong",KLN - Kowloon City,Government Institutional and Community,"Drainage Services Department, HKSAR Government","LAI Cheuk Ho, Peter CHAN",NB V1.1,Final Platinum,2015,Expired,,https://greenbuilding.hkgbc.org.hk/projects/view/2,
Kowloon Commerce Centre,九龍貿易中心,"51 Kwai Cheong Road, Kwai Chung",NT - Kwai Tsing,Commercial,N/A,N/A,EB V2.0 Sel. MAN,Excellent,2024,Valid,,,
Kowloon East Regional Headquarters and Operational Base cum Ngau Tau Kok Divisional Police Station,東九龍總區總部及行動基地暨牛頭角分區警署,"105 Concorde Road, Kai Tak, Kowloon",KLN - Kwun Tong,Government Institutional and Community,HKSAR Government,CHOI Sze Wing,NB V1.2,Final Platinum,2021,Valid,,,
Kowloon Godown,,"No. 1-3, Kai Hing Road",KLN - Kwun Tong,Commercial,Horizon Moon Limited (for NKIL5805); Vision Charm Limited (for NKIL5806),N/A,NB V1.2,Registered,2017,Valid,,,
Kowloon Godown,,"No. 1-3, Kai Hing Road",KLN - Kwun Tong,Commercial,Horizon Moon Limited (for NKIL5805); Vision Charm Limited (for NKIL5806),N/A,EB V2.0 Comp. A,Registered,2017,Valid,,,
Kowloon International Baptist Church Redevelopment,九龍國際浸信會,"300, Junction Road, Kowloon Tong, Kowloon, HK",KLN - Kowloon City,Government Institutional and Community,Kowloon International Baptist Church,Wong Man Sze,NB V1.2,Provisional Unclassified,2024,Valid,,,
Kowloon Investment Building,九龍企業大厦,"2-12 Bute Street, Kowloon, Hong Kong",KLN - Yau Tsim Mong,Commercial,Kowloon Investment Company Limited,"KWOK May Han, Grace",NB V1.2,Provisional Silver,2020,Valid,,,
Kowloon Technical School,九龍工業學校,"332-334 Cheung Sha Wan Road, Sham Shui Po, Kowloon, Hong Kong",KLN - Sham Shui Po,Government Institutional and Community,Architectural Services Department,"CHAN, Kwok Leung",EB V2.0 Sel. SA,Excellent,2020,Valid,,,
Kowloon Tong Bishop Walsh Catholic School,九龍塘天主教華德學校,"39 Inverness Road, Kowloon",KLN - Kowloon City,Aided,Kowloon Tong Bishop Walsh Catholic School,CHAN Tsz Ying,ES V1.0,Green,2023,Valid,,,"SLL, SCE"
KT Marina 1,啟德海灣I,"Kai Tak Area 4A Site 1, Kai Tak, Kowloon, Hong Kong",KLN - Kowloon City,Residential,Dragon Star H.K. Investments Limited,SZETO Chun Tak,NB V1.2,Provisional Gold,2021,Valid,PAG0098/21,,
KTR350,,"No. 350 Kwun Tong Road, Kwun Tong",KLN - Kwun Tong,Commercial,Charm Step Development Limited,JIANG Wei,NB V1.2,Final Unclassified,2025,Valid,,,
Kwai Chung Plaza,葵涌廣場,"7-11 Kwai Foo Road, Kwai Chung",NT - Kwai Tsing,Mixed Use,Nan Fung Property Management,TANG Siu Tung,EB V2.0 Sel. MAN,Good,2024,Valid,,,
Kwai Fong Plaza,葵芳廣場,"No. 177 Hing Fong Road, Kwai Chung, New Territories",NT - Kwai Tsing,Commercial,Gaw Capital Asset Management (HK) Limited,Lee Man Kwong,EB V2.0 Sel. MAN,Excellent,2023,Valid,,https://greenbuilding.hkgbc.org.hk/projects/view/1409,
Kwai Shing East Shopping Centre,葵盛東商場,"No. 63 Kwai Shing Circuit, Kwai Chung, New Territories",NT - Kwai Tsing,Commercial,Gaw Capital Asset Management (HK) Limited,Lee Man Kwong,EB V2.0 Sel. MAN,Excellent,2023,Valid,,https://greenbuilding.hkgbc.org.hk/projects/view/1423,
Kwai Shing Estate,葵盛邨,"Kwai Shing Circuit, Kwai Chung, New Territories",NT - Kwai Tsing,Residential,Hong Kong Housing Authority,"SZETO Chun Tak,Tommy",NB V1.2,Provisional Gold,2024,Valid,,,
Kwai Shing West Estate,葵盛西邨,"Kwai Shing West Estate, Kwai Chung, New Territories, Hong Kong",NT - Kwai Tsing,Residential,Hong Kong Housing Authority,LEUNG Chi Fung,EB V1.2,Final Platinum,2015,Expired,,https://greenbuilding.hkgbc.org.hk/projects/view/27,
Kwai Tsui Estate,葵翠邨,"No. 11 Kwai Yi Road, Kwai Chung, N.T.",NT - Kwai Tsing,Residential,Hong Kong Housing Authority,LEUNG Chi Fung,NB V1.2,Final Platinum,2019,Expired,,https://greenbuilding.hkgbc.org.hk/projects/view/4,
"Kwan Tei, Fanling D.D. 83, New Territories",粉岭军地别墅,"Kwan Tei South, Fanling, New Territories",NT - North,Residential,"LEE KIM MING, YEUNG YUEN MAN",YEUNG Ka Sing,NB V1.2,Registered,2015,Valid,,,
Kwong Fuk Commercial Centre,廣福商場,"28 Plover Cove Road, Tai Po, New Territories",NT - Tai Po,Commercial,Link Asset Management Limited,,EB V2.0 Sel. MAN,Good,2023,Valid,,https://greenbuilding.hkgbc.org.hk/projects/view/1392,
Kwong Wah Plaza,光華廣場,"No.11 Tai Tong Road, Yuen Long, N.T., Hong Kong",NT - Yuen Long,Commercial,Hang Yick Properties Management Limited,SZETO Chun Tak,EB V2.0 Sel. SA,Excellent,2022,Valid,,,
Kwong Yuen Shopping Centre,廣源商場,"68 Siu Lek Yuen Road, Sha Tin, New Territories",NT - Sha Tin,Commercial,LINK REIT,,EB V2.0 Sel. MAN,Good,2021,Valid,,https://greenbuilding.hkgbc.org.hk/projects/view/320,
Kwu Tung North and Fanling North New Development Area - Visitor Centre for Long Valley Nature Park,古洞北及粉嶺北新發展區 – 塱原自然生態公園訪客中心,Kwu Tung North New Development Area,NT - North,Government Institutional and Community,"Civil Engineering and Development Department, HKSAR Government","Ma Yee Ling, Elaine",NB V1.2,Provisional Platinum,2020,Valid,,https://greenbuilding.hkgbc.org.hk/projects/view/292,
Kwu Tung North Multi-welfare Services Complex,古洞北福利服務綜合大樓,"6 Pak Sau Road, North, New Territories, Hong Kong",NT - North,Others,"Social Welfare Department, HKSAR",Grace Kwok May Han,NB V1.2,Final Platinum,2024,Valid,,,
Kwu Tung North Substation,古洞北變電站,"189 Castle Peak Road Chau Tau, Sheung Shui, New Territories",NT - North,Others,CLP Power Hong Kong Limited,"Ms Chan Ka Yee, Zoe",NB V1.2,Provisional Platinum,2022,Valid,,,
Kwu Tung Station on East Rail Line (KTU (EAL)),東鐵綫古洞站,"Kwu Tung Station (EAL), Kwu Tung, Sheung Shui",NT - North,Others,MTR Corporation Limited,"LEE Ka Yan, Claudine",NB V2.0,Provisional Platinum,2023,Valid,,,
KWU TUNG Station on Northern Link KTU(NOL),北環線-古洞站,"Kwu Tung Station (NOL) , Kwu Tung, Sheung Shui",NT - North,Others,MTR Corporation Limited,KAM Wing Chi,NB V2.0,Registered,2024,Valid,,,
Kwun Shan Court,冠山苑,"Ko Shan Road, Ma Tau Kok, Kowloon, Hong Kong",KLN - Kowloon City,Residential,Hong Kong Housing Authority,Hui Pui Shan,NB V1.2,Provisional Gold,2020,Valid,PAG0118/22,,
